algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,16186,8
MergeSort,random,10000,2,226966,11
MergeSort,random,100000,8,2939348,14
MergeSort,random,1000000,109,36159031,18
QuickSort,random,1000,0,16006,6
QuickSort,random,10000,0,233436,9
QuickSort,random,100000,12,2925625,10
QuickSort,random,1000000,109,36813417,13
QuickSelect,random,1000,0,5493,10
QuickSelect,random,10000,0,37038,15
QuickSelect,random,100000,2,511427,23
QuickSelect,random,1000000,10,3784275,25
MergeSort,sorted,1000,0,10876,8
MergeSort,sorted,10000,0,159248,11
MergeSort,sorted,100000,3,2044016,14
MergeSort,sorted,1000000,40,25342400,18
QuickSort,sorted,1000,0,16844,6
QuickSort,sorted,10000,0,234191,9
QuickSort,sorted,100000,6,2988397,11
QuickSort,sorted,1000000,84,36607459,13
QuickSelect,sorted,1000,0,5512,13
QuickSelect,sorted,10000,0,59135,19
QuickSelect,sorted,100000,0,320670,22
QuickSelect,sorted,1000000,10,5682872,26
MergeSort,duplicates,1000,0,15756,8
MergeSort,duplicates,10000,0,221492,11
MergeSort,duplicates,100000,5,2862426,14
MergeSort,duplicates,1000000,57,35193772,18
QuickSort,duplicates,1000,0,5001,2
QuickSort,duplicates,10000,0,62875,2
QuickSort,duplicates,100000,1,540081,2
QuickSort,duplicates,1000000,16,5701102,2
QuickSelect,duplicates,1000,0,3763,4
QuickSelect,duplicates,10000,0,33026,3
QuickSelect,duplicates,100000,2,330684,3
QuickSelect,duplicates,1000000,11,4003649,5
